Time (min),Value (pA)
7.72,3.137325
7.721667,3.138833
7.723333,3.139767
7.725,3.140455
7.726667,3.141152
7.728333,3.14037
7.73,3.138413
7.731667,3.137445
7.733333,3.136567
7.735,3.136783
7.736667,3.138025
7.738333,3.138979
7.74,3.1401
7.741667,3.13984
7.743333,3.139917
7.745,3.140703
7.746667,3.141851
7.748333,3.144712
7.75,3.149154
7.751667,3.156299
7.753333,3.166419
7.755,3.175506
7.756667,3.184607
7.758333,3.192585
7.76,3.198568
7.761667,3.203064
7.763333,3.204981
7.765,3.204133
7.766667,3.202117
7.768333,3.20069
7.77,3.198295
7.771667,3.193469
7.773333,3.189223
7.775,3.1856
7.776667,3.18239
7.778333,3.180724
7.78,3.179904
7.781667,3.179452
7.783333,3.179258
7.785,3.178051
7.786667,3.177165
7.788333,3.17624
7.79,3.174965
7.791667,3.175322
7.793333,3.177095
7.795,3.179047
7.796667,3.18113
7.798333,3.182215
7.8,3.182905
7.801667,3.181946
7.803333,3.181757
7.805,3.180109
7.806667,3.176043
7.808333,3.172283
7.81,3.170371
7.811667,3.167536
7.813333,3.164994
7.815,3.162382
7.816667,3.161366
7.818333,3.16011
7.82,3.159913
7.821667,3.158001
7.823333,3.153441
7.825,3.148595
7.826667,3.145461
7.828333,3.141436
7.83,3.139961
7.831667,3.140036
7.833333,3.141649
7.835,3.143008
7.836667,3.142709
7.838333,3.140196
7.84,3.137079
7.841667,3.132739
7.843333,3.129787
7.845,3.126748
7.846667,3.126439
7.848333,3.126823
7.85,3.128032
7.851667,3.127421
7.853333,3.126363
7.855,3.125324
7.856667,3.125425
7.858333,3.125493
7.86,3.127166
7.861667,3.127464
7.863333,3.128378
7.865,3.127831
7.866667,3.127807
7.868333,3.125333
7.87,3.124666
7.871667,3.121251
7.873333,3.120109
7.875,3.119703
7.876667,3.119146
7.878333,3.117735
7.88,3.118338
7.881667,3.11831
7.883333,3.118762
7.885,3.118603
7.886667,3.118629
7.888333,3.11648
7.89,3.116455
7.891667,3.115447
7.893333,3.114018
7.895,3.112441
7.896667,3.111365
7.898333,3.10963
7.9,3.107809
7.901667,3.10741
7.903333,3.107297
7.905,3.106804
7.906667,3.106859
7.908333,3.107167
7.91,3.107619
7.911667,3.107347
7.913333,3.106457
7.915,3.106494
7.916667,3.107405
7.918333,3.108849
7.92,3.110097
7.921667,3.108887
7.923333,3.108359
7.925,3.107175
7.926667,3.105215
7.928333,3.103081
7.93,3.102175
7.931667,3.10379
7.933333,3.106859
7.935,3.107729
7.936667,3.107762
7.938333,3.107184
7.94,3.108304
7.941667,3.10854
7.943333,3.106783
7.945,3.105367
7.946667,3.10368
7.948333,3.10382
7.95,3.1033
7.951667,3.101971
7.953333,3.101076
7.955,3.102069
7.956667,3.10373
7.958333,3.104293
7.96,3.103354
7.961667,3.102859
7.963333,3.102445
7.965,3.104133
7.966667,3.105212
7.968333,3.106808
7.97,3.106948
7.971667,3.107651
7.973333,3.107005
7.975,3.105885
7.976667,3.1038
7.978333,3.1013
7.98,3.100118
7.981667,3.100326
7.983333,3.099975
7.985,3.099638
7.986667,3.099578
7.988333,3.100639
7.99,3.102088
7.991667,3.103892
7.993333,3.103718
7.995,3.103187
7.996667,3.10342
7.998333,3.105717
8,3.107133
8.001667,3.108979
8.003333,3.110176
8.005,3.111187
8.006667,3.112851
8.008333,3.113875
8.01,3.113981
8.011667,3.115113
8.013333,3.118279
8.015,3.122645
8.016667,3.126367
8.018333,3.12983
8.02,3.131382
8.021667,3.134128
8.023333,3.135396
8.025,3.135429
8.026667,3.1335
8.028333,3.131425
8.03,3.129095
8.031667,3.125952
8.033333,3.123205
8.035,3.120541
8.036667,3.118173
8.038333,3.118621
8.04,3.118474
8.041667,3.119346
8.043333,3.119054
8.045,3.12001
8.046667,3.120114
8.048333,3.120185
8.05,3.119996
8.051667,3.119573
8.053333,3.117589
8.055,3.115902
8.056667,3.114638
8.058333,3.112407
8.06,3.110456
8.061667,3.110001
8.063333,3.108678
8.065,3.108151
8.066667,3.108335
8.068333,3.108761
8.07,3.10836
8.071667,3.108518
8.073333,3.108838
8.075,3.107796
8.076667,3.107681
8.078333,3.107683
8.08,3.108333
8.081667,3.109887
8.083333,3.111712
8.085,3.112519
8.086667,3.113313
8.088333,3.113232
8.09,3.114354
8.091667,3.116107
8.093333,3.117499
8.095,3.119893
8.096667,3.124092
8.098333,3.13023
8.1,3.137106
8.101667,3.143639
8.103333,3.151005
8.105,3.158455
8.106667,3.16589
8.108333,3.171979
8.11,3.176212
8.111667,3.178951
8.113333,3.181112
8.115,3.183294
8.116667,3.186005
8.118333,3.187982
8.12,3.18873
8.121667,3.188567
8.123333,3.186141
8.125,3.185025
8.126667,3.183771
8.128333,3.179814
8.13,3.176496
8.131667,3.173857
8.133333,3.171561
8.135,3.169095
8.136667,3.166005
8.138333,3.163086
8.14,3.160643
8.141667,3.159432
8.143333,3.156337
8.145,3.152538
8.146667,3.149866
8.148333,3.148547
8.15,3.147867
8.151667,3.147212
8.153333,3.148314
8.155,3.150724
8.156667,3.153781
8.158333,3.156267
8.16,3.157338
8.161667,3.158913
8.163333,3.160413
8.165,3.161481
8.166667,3.16205
8.168333,3.160848
8.17,3.160368
8.171667,3.160683
8.173333,3.159609
8.175,3.157521
8.176667,3.154887
8.178333,3.153226
8.18,3.151705
8.181667,3.149424
8.183333,3.147312
8.185,3.146459
8.186667,3.144927
8.188333,3.145523
8.19,3.144498
8.191667,3.144328
8.193333,3.143314
8.195,3.141642
8.196667,3.13978
8.198333,3.136935
8.2,3.133723
8.201667,3.132408
8.203333,3.129143
8.205,3.127546
8.206667,3.126458
8.208333,3.126062
8.21,3.125465
8.211667,3.124692
8.213333,3.125075
8.215,3.124786
8.216667,3.124696
8.218333,3.126874
8.22,3.129153
8.221667,3.134208
8.223333,3.142075
8.225,3.151335
8.226667,3.162858
8.228333,3.173798
8.23,3.182869
8.231667,3.189728
8.233333,3.194349
8.235,3.194642
8.236667,3.194915
8.238333,3.189497
8.24,3.181737
8.241667,3.172331
8.243333,3.163077
8.245,3.153758
8.246667,3.144633
8.248333,3.139167
8.25,3.136158
8.251667,3.134337
8.253333,3.13249
8.255,3.129976
8.256667,3.12717
8.258333,3.124525
8.26,3.123033
8.261667,3.120854
8.263333,3.118408
8.265,3.117607
8.266667,3.11675
8.268333,3.116011
8.27,3.116673
8.271667,3.116469
8.273333,3.115085
8.275,3.115072
8.276667,3.115834
8.278333,3.115366
8.28,3.114617
8.281667,3.112978
8.283333,3.11103
8.285,3.10932
8.286667,3.108173
8.288333,3.106867
8.29,3.104315
8.291667,3.103696
8.293333,3.105182
8.295,3.105603
8.296667,3.106311
8.298333,3.106695
8.3,3.108363
8.301667,3.11009
8.303333,3.110741
8.305,3.110646
8.306667,3.109516
8.308333,3.108627
8.31,3.108866
8.311667,3.107617
8.313333,3.1078
8.315,3.108601
8.316667,3.109232
8.318333,3.109651
8.32,3.107862
8.321667,3.107342
8.323333,3.106547
8.325,3.106455
8.326667,3.105804
8.328333,3.106896
8.33,3.107816
8.331667,3.106967
8.333333,3.10544
8.335,3.103846
8.336667,3.101173
8.338333,3.101184
8.34,3.101112
8.341667,3.101222
8.343333,3.100218
8.345,3.099615
8.346667,3.09896
8.348333,3.097351
8.35,3.096056
8.351667,3.095059
8.353333,3.093198
8.355,3.092527
8.356667,3.093444
8.358333,3.094227
8.36,3.093416
8.361667,3.092616
8.363333,3.092509
8.365,3.091585
8.366667,3.09128
8.368333,3.092084
8.37,3.092009
8.371667,3.091988
8.373333,3.094271
8.375,3.095811
8.376667,3.096368
8.378333,3.096587
8.38,3.09569
8.381667,3.095231
8.383333,3.095128
8.385,3.095185
8.386667,3.094634
8.388333,3.093426
8.39,3.092853
8.391667,3.091856
8.393333,3.091326
8.395,3.091452
8.396667,3.091513
8.398333,3.091198
8.4,3.091087
8.401667,3.09056
8.403333,3.09022
